source,source_key,source_label,st_code,pc_code,method,reviewed_by,note
prs,Dadra and Nagar Haveli|Dadra and Nagar Haveli,Dadra and Nagar Haveli,26,26-2,official_lookup,,"ECI PC 2 Dadar & Nagar Haveli; winner Delkar Kalaben Mohanbhai confirmed on archived results.eci.gov.in candidatewise page; PRS names the pre-merger UT for both seat 25-1 and seat 26-2, so state name alone is not enough here — resolved by seat winner"
prs,Andhra Pradesh|Ananthapur,Ananthapur,37,37-19,official_lookup,,ECI PC 19 Ananthapur (AP); winner Ambica G Lakshminarayana Valmiki (PRS: G Lakshminarayana) confirmed on archived results.eci.gov.in candidatewise page
prs,Andhra Pradesh|Kurnoolu,Kurnoolu,37,37-18,official_lookup,,ECI PC 18 Kurnoolu (AP); winner Bastipati Nagaraju Panchalingala (PRS: Bastipati Nagaraju) confirmed on archived results.eci.gov.in candidatewise page
prs,Assam|Darang Udalguri,Darang Udalguri,18,18-4,official_lookup,,"ECI PC 4 Darrang-Udalguri (Assam); winner Dilip Saikia confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-08-05"
prs,Karnataka|Davangere,Davangere,29,29-13,official_lookup,,"ECI PC 13 Davanagere (Karnataka); winner Dr. Prabha Mallikarjun (PRS: Prabha Mallikarjun) confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-06-13"
prs,Uttar Pradesh|Baharaich,Baharaich,9,9-56,official_lookup,,"ECI PC 56 Baharaich (UP); winner Anand Kumar confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-11-30"
prs,Uttarakhand|Haridwar,Haridwar,5,5-5,official_lookup,,"ECI PC 5 Haridwar (Uttarakhand); winner Trivendra Singh Rawat confirmed on archived results.eci.gov.in candidatewise page, snapshot 2025-04-24; crosswalk pc_name is the 2008-order spelling Hardwar"
prs,West Bengal|Srerampur,Srerampur,19,19-27,official_lookup,,ECI PC 27 Srerampur (WB); winner Kalyan Banerjee confirmed on archived results.eci.gov.in candidatewise page
prs,West Bengal|Arambagh,Arambagh,19,19-29,official_lookup,,"ECI PC 29 Arambagh (WB); winner Bag Mitali (PRS: Mitali Bag) confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-06-04"
prs,West Bengal|Joynagar,Joynagar,19,19-19,official_lookup,,"ECI PC 19 Joynagar (WB); winner Pratima Mondal confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-06-04"
prs,Dadra and Nagar Haveli|Daman and Diu,Daman and Diu,25,25-1,official_lookup,,"ECI PC 1 Daman & Diu; winner Patel Umeshbhai Babubhai confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-06-06; PRS names the pre-merger UT for both seat 25-1 and seat 26-2, so state name alone is not enough here — resolved by seat winner"
prs,Bihar|Patliputra,Patliputra,10,10-31,official_lookup,,"ECI PC 31 Patliputra (Bihar); winner Misha Bharti confirmed on archived results.eci.gov.in candidatewise page, snapshot 2024-12-07"
