pc_no,pc_name,pc_reserved,ac_no,ac_name,ac_reserved,confidence,source
13,Dibrugarh,,91,Tingkhong,,high,Table-B p.82
13,Dibrugarh,,92,Naharkatia,,high,Table-B p.82
14,Jorhat,,93,Sonari,,high,Table-B p.82
14,Jorhat,,94,Mahmora,,high,Table-B p.82
14,Jorhat,,95,Demow,,high,Table-B p.82
14,Jorhat,,96,Sibsagar,,high,Table-B p.82
14,Jorhat,,97,Nazira,,high,Table-B p.82
14,Jorhat,,98,Majuli,ST,high,Table-B p.82
14,Jorhat,,99,Teok,,high,Table-B p.82
14,Jorhat,,100,Jorhat,,high,Table-B p.82
14,Jorhat,,101,Mariani,,high,Table-B p.82
14,Jorhat,,102,Titabor,,high,Table-B p.82
